id,geom,longitude,latitude,classname,time,img_received,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,isprocessed,mb_serial,mt_serial
40666,0101000020E61000007800C4525F2B6040288036AF82024240,129.3553861,36.01961317,pothole,2024-07-13 07:16:36.185164+09,TRUE,36.019648,129.355443,36.425291,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40708,0101000020E610000006724CE62C2B604003EAC0A6FAFF4140,129.3492309,35.99983677,pothole,2024-07-13 07:28:17.308948+09,TRUE,35.99985,129.349164,41.080524,경상북도,포항시 남구,연일읍,생지리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40795,0101000020E61000009AB10FA7F92A60409982E1A648024240,129.3429752,36.01784216,pothole,2024-07-13 09:09:48.016257+09,TRUE,36.017769,129.342971,46.387646,경상북도,포항시 남구,대잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40824,0101000020E6100000B1CBB266962B60403921489B33024240,129.3621095,36.01719991,pothole,2024-07-13 09:45:45.937582+09,TRUE,36.017146,129.362149,25.480952,경상북도,포항시 남구,대도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40879,0101000020E6100000D4663F2C6B2B6040843AD337D5034240,129.3568326,36.0299444,pothole,2024-07-13 15:56:07.436566+09,TRUE,36.029923,129.356895,31.795845,경상북도,포항시 북구,용흥동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40908,0101000020E6100000061C6E0D152B6040223D3AB6FE034240,129.3463199,36.03121069,pothole,2024-07-13 16:53:55.848521+09,TRUE,36.031212,129.346258,51.99661,경상북도,포항시 북구,학잠동,NULL,양학로96번길,11,FALSE,PDCToolV1,MTPohangPC7
40949,0101000020E6100000A01E07A5A22B60402F0ECEB8CA034240,129.3636041,36.02962408,pothole,2024-07-13 18:06:37.115784+09,TRUE,36.029536,129.363563,35.455942,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41072,0101000020E6100000F96F1093202B60405A567D3DB3034240,129.3477264,36.02890748,pothole,2024-07-15 05:53:18.295354+09,TRUE,36.028844,129.347745,38.858118,경상북도,포항시 북구,학잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41234,0101000020E6100000B3BCC54DB32A6040CCE4F83636044240,129.3343877,36.0329045,pothole,2024-07-15 12:19:15.140747+09,TRUE,36.032972,129.334326,84.077934,경상북도,포항시 남구,이동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41286,0101000020E61000001BD9FAB41B2B6040DA9F8DE5B9034240,129.3471322,36.02911062,pothole,2024-07-15 15:19:21.725764+09,TRUE,36.029246,129.347076,40.405435,경상북도,포항시 북구,득량동,NULL,양학로,73,FALSE,PDCToolV1,MTPohangPC7
